apartment_id,text_review,rating,author
302,"Cozy apartments. Quiet. Washer and dryers in unit which is a big plus. However, management often didn't address work orders to fix ""minor"" issues like a leaky faucet.",3,Barry Yu
302,"Don’t move here. This place will take as much of your money as possible. Rent is steep, pet rent is an astronomical $75/month, and utilities are flat fee of $110/month. I paid a $1200 deposit and they kept $500 for bogus charges like painting the unit, which of course wasn’t mentioned on my move out inspection.

Expect to deal with multiple property managers and maintenance techs. I lived there a year, and interacted with at least 4 property reps and as many maintenance techs. The staff member who handled my refund, Rebeca, promised to follow up on my concerns, then stopped responding to my emails.

The only saving grace for this place is central heat/air, dishwasher, and washer/dryer in unit. But honestly, none of that was worth the hassle and headache of losing so much money. There are other complexes in Davis with better prices and customer service.",2,Teresa Koro
302,"I lived in this apartment complex for 2 years before new management took over in 2017. After the transition, the new management put financial and psychological pressure on the previous residents and forced many of them out of their apartments in order to make surface-level changes to the complex and hike the rent up by $500 a month. I do not begrudge them the right to remain competitive in the Davis rental market.

What I do condemn is the way in which they continuously showed blatant disregard for the residents they were forcing to leave. They had a work crew in and out of my apartment for the entire month of July. The entire fiasco ended up costing me the equivalent of $250 in lost apartment access and electricity costs (the crew needed to have the apartment door open and plug in power tools). I couldn't use my shower for two days. They compensated me $50.

Though the new management replaced the cabinets, floors, appliances (in some units), built little fences, added a fitness room, and painted the outside of the apartments green, they made these changes at the expense of other more pressing concerns. I know from a member of the crew working in my apartment, that a few of the units have rodent problems.

I urge you, if you have another choice for housing in Davis, please do not move in to Cottages on Fifth. The management has no incentive to care about the well being of their residents, and they will try to take as much of your money as they can. These apartments may look attractive, but they are not worth the price that the management is asking.

I now live in a complex I enjoy much more. The management is responsive, kind, and welcoming. The apartments are well built and well kept. I pay roughly the same amount. It is possible to find a better home in Davis. Please do not give Cottages on Fifth your money.",1,Amplify Sacramento
302,"I have lived there for 1 year it is so expensive 1950$ not included anything even wife! Location is not bad. Bus Station you have to cross the street. Maintenance is good. However, with this price, you can have a great apartment. There is no office. Their work stuff is not good. There are no room students that has a computer and printer like every complex. Unfortunately, I have to live there because I come to Davis very late and the good apartment has gone!",1,نورة محمد
302,"I loved the scenery and layout of the whole property and found the amenities that come with the apartment to be super convenient! Stepping right in through the front door I was already able to imagine living there with the help of the office staff and their suggestions since I will be working remotely. The overall feel for making it my new home was definitely cozy, comfortable & calm. Can’t wait to sign the papers!",5,Chrizelle Anselmo
320,"I've lived in this apartment for years, and it's by far my favorite place I've ever stayed. The environment is lovely, creating a comfortable and welcoming atmosphere. The staff are always quick to respond and incredibly helpful, making living here a truly enjoyable experience. Highly recommended!",5,Olivia Liang
320,"I love living at Sycamore Lane. The location is amazing and love my apartment. They are super responsive to service requests too! Everyone is so nice, I love the managers they are so friendly and welcoming. They also put on fun days with food for everyone during finals and holidays!! Love love it here",5,Erin Munz
320,"Sycamore is such a great place to live in especially for students. The staff is so nice and are so quick to help or fix anything we need! They offer so many fun socials, the study lounge always has free coffee and printers, and they have made living here sophomore year great!",5,Diane Delrieu
320,"Living in sycamore land has improved my college experience through the ability to have a fabulous study lounge and workout room, AND POOL, right at the tip of my fingers. Living here sophomore year was couldn’t have been better due to the fact it was 5 minutes biking to get to each class and Trader Joe’s in walking sight. Love it here !!",5,Quinn Vasquez
320,So far I have had a wonderful experience at Sycamore Lane Apartments!! The staff are all so kind and the apartments themselves are very nice and clean. The staff hosts free meals every now and then with great food. I plan to live here for the rest of my time spent in Davis!,5,Ingrid Lindblom
338,One bedroom single person or married couple dwelling with semi-private back patio along with raised garden planters for tenant gardening. There is also a small outdoors barbeque area with permanent stationary play tables for checkers or chess.,5,Cynthia Casteel
