name,googleId,latitude,longitude,googleMapsUri,websiteUri,address,shortAddress,phoneNumber,photo
Academy Lane Apartment Homes,ChIJ8cA3dKIphYAREie0GPKQfY4,38.5551655,-121.74247690000001,https://maps.google.com/?cid=10267522094945543954,https://www.academylane.com/?utm_source=GBP&utm_medium=organic,"1124 F St, Davis, CA 95616, USA","1124 F St, Davis",(530) 290-6165,https://lh3.googleusercontent.com/places/ANXAkqGemIg-MnKYwnEHtsYNNFY4ULao0Q1I1wcnPxLylZQswL5_zHDuA1UrH3kIVBCPJUg2Qtl0UUIetKnhJmlCO3brbYNsgKmcaok=s4800-w600-h400
Orchard Park Apartments,ChIJ____s1QohYARuH1x_SWGQxo,38.5448052,-121.765171,https://maps.google.com/?cid=1892503766149725624,https://housing.ucdavis.edu/apartments/orchard-park/,"Orchard Park Cir, Davis, CA 95616, USA","Orchard Park Cir, Davis",(530) 747-7224,https://lh3.googleusercontent.com/place-photos/ADOriq35O6XB9FUnF_Sbm52xVGPBOzcgLKQ6IFLZb5PiNXIHNs8U5E5z_0bnHzI_WzOfO3KzS6q3CeLK9dhiVloL70wxg5qTAAaZdvylkiscbX1R2SD60dtFGsk2q2o9hQHHu7Kw5fr_=s4800-w600-h400
Lakeshore,ChIJ04O3_z8ohYARgaJauWhiZQk,38.553548000000006,-121.78843350000001,https://maps.google.com/?cid=677055520914973313,http://www.lakeshoreapt.com/,"1175 Lake Blvd, Davis, CA 95616, USA","1175 Lake Blvd, Davis",(530) 757-7926,https://lh3.googleusercontent.com/places/ANXAkqHoBaVZ3ebrSRvaEZ9OJmnBAL2gX7ZT3iQ7qDiepUyR61dQpXrxN7Hx6Z5pNtBHEIC_lgb3X7Vzr9JsIBsjaTcBkNinKZWCyYM=s4800-w600-h400
Avalon Apartments,ChIJM2kdNmEphYAR68NUO5j-vkk,38.538311,-121.72467800000001,https://maps.google.com/?cid=5313964540127658987,http://www.liveavalondavis.com/,"1617 Valdora St, Davis, CA 95618, USA","1617 Valdora St, Davis",(530) 231-5719,https://lh3.googleusercontent.com/places/ANXAkqGL-TrRIBWPpSqsu1yrjSQm7buOoOktKZ1Lfkob9HYAEj9qyxohY2FYhhcBQvbB0g9K6jJ1M8qUvfh1ubSekq5s8_t2r-9LOk4=s4800-w600-h400
Sherwood & Forest Arms Apartments,ChIJpey5BRMphYAR83JKZxGrBTE,38.5485591,-121.7653588,https://maps.google.com/?cid=3532417573977748211,https://www.rentingdavis.com/sherwood-arms-apartments/,"1411 Wake Forest Dr, Davis, CA 95616, USA","1411 Wake Forest Dr, Davis",(530) 758-8711,https://lh3.googleusercontent.com/places/ANXAkqHM63nncAb5YLQD23uZYMS6MtA4TeoHkezLZeOBtGyRivT1cIE-1UK1EWkdBTeuRkXz0BOknoxHcUcQ7FwUuEMPRS7AucvhQRM=s4800-w600-h400
J Street Apartments,ChIJn7a_apgphYARO2cksvcxY6Q,38.5568567,-121.74148710000001,https://maps.google.com/?cid=11845366384829949755,https://www.jstapts.com/,"1111 J St, Davis, CA 95616, USA","1111 J St, Davis",(530) 756-2100,https://lh3.googleusercontent.com/places/ANXAkqFo25RV427JxU2BRnSae6gfqoHqYiRu1fKg3qOpD15ICjLiBc-HV_e1LcqR709WvyAfQZbXSLd27WEfDaU1rZSf7LUClPUfJgY=s4800-w600-h400
The U Apartments,ChIJmRQHw30phYARr125i_BW_Sg,38.5496102,-121.7208849,https://maps.google.com/?cid=2953612521761234351,https://www.theudavis.com/?67805&utm_source=obl&utm_medium=organic,"625 Cantrill Dr, Davis, CA 95618, USA","625 Cantrill Dr, Davis",(530) 513-6145,https://lh3.googleusercontent.com/places/ANXAkqGyj3QGNLjumrxsLwxkFbmpA0qpa_JI7uak2rWpDGS_Kadcs3ieeMw3DlibNPsWCu52KhZhiNxFu3NetbN1CaXEA0GceTeGjuM=s4800-w600-h400
Davisville Management Company,ChIJ3aiNr30phYARup-W1ucKKg4,38.548474999999996,-121.72145750000001,https://maps.google.com/?cid=1020640256406757306,https://www.davisapartmentsforrent.com/,"2525 2nd St, Davis, CA 95618, USA","2525 2nd St, Davis",(530) 758-5800,https://lh3.googleusercontent.com/places/ANXAkqG-rJlpQmtMxJuRZGu2LBToh-irOmbNUWf0VQkOIwE7rdO4HIxtwBZTvNB4HV0QngDCmLoNM0rIZ_f-s1yV2kPvAHBM_5ulmOw=s4800-w600-h400
Alvarado Parkside Apartments,ChIJBy7qubkphYARIXNuAHFhLMQ,38.5613515,-121.75182029999999,https://maps.google.com/?cid=14135780468375581473,https://www.rentingdavis.com/alvarado-parkside,"520 Alvarado Ave, Davis, CA 95616, USA","520 Alvarado Ave, Davis",(530) 758-7070,https://lh3.googleusercontent.com/places/ANXAkqGi1U1yeT9FJKStMwNlwjurdDZKz4XM1hQfP2cktugTic7aducudyNchzpSFsfDY-LJo8qtMRJXmzdaZU3ZW70OIwXUS50thsU=s4800-w600-h400
Greystone,ChIJg472R34phYARi59rxmWwmVI,38.5530083,-121.7205796,https://maps.google.com/?cid=5951982333713948555,http://www.greystoneapts.com/,"2505 5th St, Davis, CA 95618, USA","2505 5th St, Davis",(530) 758-2200,https://lh3.googleusercontent.com/places/ANXAkqFK75cUCLlHONKaj5TR-Z5WPc9E9ibIwrAOCsqSPw57LIzNz9KQVVdV2fh8m80bICab_GfOPpFcaR2BbRSFDv7C9P8pi0bSd2Q=s4800-w600-h400
